image_id,overlap_group,true_label,traditional_pred,deep_pred,deep_confidence,origin_export,enhanced_export,visual_error_note
ISIC_0027346,traditional_correct_deep_wrong,nv,nv,mel,0.7423798,failure_analysis_outputs\images\traditional_correct_deep_wrong\18_ISIC_0027346_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\18_ISIC_0027346_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0030247,traditional_correct_deep_wrong,nv,nv,bkl,0.7020568,failure_analysis_outputs\images\traditional_correct_deep_wrong\19_ISIC_0030247_nv_trad-nv_deep-bkl_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\19_ISIC_0030247_nv_trad-nv_deep-bkl_enhanced.jpg,普通痣被判为 bkl，通常是局部斑点/粗糙纹理强于整体痣结构，模型被局部纹理牵引。
ISIC_0027578,traditional_correct_deep_wrong,nv,nv,mel,0.6826397,failure_analysis_outputs\images\traditional_correct_deep_wrong\20_ISIC_0027578_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\20_ISIC_0027578_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0032334,traditional_correct_deep_wrong,nv,nv,mel,0.6618306,failure_analysis_outputs\images\traditional_correct_deep_wrong\21_ISIC_0032334_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\21_ISIC_0032334_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0024924,traditional_correct_deep_wrong,nv,nv,mel,0.65369034,failure_analysis_outputs\images\traditional_correct_deep_wrong\22_ISIC_0024924_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\22_ISIC_0024924_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0033910,traditional_correct_deep_wrong,bkl,bkl,bcc,0.64972025,failure_analysis_outputs\images\traditional_correct_deep_wrong\23_ISIC_0033910_bkl_trad-bkl_deep-bcc_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\23_ISIC_0033910_bkl_trad-bkl_deep-bcc_enhanced.jpg,该错误属于视觉相似类别之间的混淆，可能与颜色、边界、局部纹理或病灶尺度有关。
ISIC_0031635,traditional_correct_deep_wrong,nv,nv,mel,0.6348278,failure_analysis_outputs\images\traditional_correct_deep_wrong\24_ISIC_0031635_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\24_ISIC_0031635_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0032096,traditional_correct_deep_wrong,nv,nv,bkl,0.6068303,failure_analysis_outputs\images\traditional_correct_deep_wrong\25_ISIC_0032096_nv_trad-nv_deep-bkl_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\25_ISIC_0032096_nv_trad-nv_deep-bkl_enhanced.jpg,普通痣被判为 bkl，通常是局部斑点/粗糙纹理强于整体痣结构，模型被局部纹理牵引。
ISIC_0034203,traditional_correct_deep_wrong,nv,nv,bcc,0.56698626,failure_analysis_outputs\images\traditional_correct_deep_wrong\26_ISIC_0034203_nv_trad-nv_deep-bcc_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\26_ISIC_0034203_nv_trad-nv_deep-bcc_enhanced.jpg,该错误属于视觉相似类别之间的混淆，可能与颜色、边界、局部纹理或病灶尺度有关。
ISIC_0032107,traditional_correct_deep_wrong,nv,nv,mel,0.5354939,failure_analysis_outputs\images\traditional_correct_deep_wrong\27_ISIC_0032107_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\27_ISIC_0032107_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0026268,traditional_correct_deep_wrong,mel,mel,akiec,0.52435374,failure_analysis_outputs\images\traditional_correct_deep_wrong\28_ISIC_0026268_mel_trad-mel_deep-akiec_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\28_ISIC_0026268_mel_trad-mel_deep-akiec_enhanced.jpg,该错误属于视觉相似类别之间的混淆，可能与颜色、边界、局部纹理或病灶尺度有关。
ISIC_0031160,traditional_correct_deep_wrong,nv,nv,mel,0.5091347,failure_analysis_outputs\images\traditional_correct_deep_wrong\29_ISIC_0031160_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\29_ISIC_0031160_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0032860,traditional_correct_deep_wrong,nv,nv,vasc,0.49756756,failure_analysis_outputs\images\traditional_correct_deep_wrong\30_ISIC_0032860_nv_trad-nv_deep-vasc_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\30_ISIC_0032860_nv_trad-nv_deep-vasc_enhanced.jpg,nv 被判为 vasc，通常是局部蓝紫/红色或圆形高对比区域触发了血管性病变响应。
ISIC_0025155,traditional_correct_deep_wrong,mel,mel,bkl,0.48899585,failure_analysis_outputs\images\traditional_correct_deep_wrong\31_ISIC_0025155_mel_trad-mel_deep-bkl_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\31_ISIC_0025155_mel_trad-mel_deep-bkl_enhanced.jpg,黑色素瘤被判为 bkl，通常与棕黑色斑片、角化样纹理或颜色不均有关；模型可能把恶性异质性解释成脂溢性角化病纹理。
ISIC_0030653,traditional_correct_deep_wrong,mel,mel,nv,0.38455585,failure_analysis_outputs\images\traditional_correct_deep_wrong\32_ISIC_0030653_mel_trad-mel_deep-nv_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\32_ISIC_0030653_mel_trad-mel_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
